sex,totalpositive2,date,case_percent,deaths,deaths_percent,ca_percent
Unknown,2068,2020-07-19,0.5,10.0,0.1,0.0
Female,199561,2020-07-20,49.8,3303.0,43.0,50.3
Male,199097,2020-07-20,49.7,4364.0,56.8,49.7
Unknown,2111,2020-07-20,0.5,10.0,0.1,0.0
Female,206176,2020-07-21,49.9,3346.0,42.9,50.3
Male,205180,2020-07-21,49.6,4436.0,56.9,49.7
Unknown,2220,2020-07-21,0.5,11.0,0.1,0.0
Female,212405,2020-07-22,49.9,3409.0,42.9,50.3
Male,210959,2020-07-22,49.6,4530.0,57.0,49.7
Unknown,2252,2020-07-22,0.5,10.0,0.1,0.0
Female,217370,2020-07-23,49.9,3466.0,42.8,50.3
Male,215652,2020-07-23,49.5,4620.0,57.1,49.7
Unknown,2312,2020-07-23,0.5,10.0,0.1,0.0
Female,222622,2020-07-24,50.0,3523.0,42.7,50.3
Male,220392,2020-07-24,49.5,4708.0,57.1,49.7
Unknown,2386,2020-07-24,0.5,11.0,0.1,0.0
Female,226906,2020-07-25,50.0,3577.0,42.7,50.3
Male,224248,2020-07-25,49.4,4794.0,57.2,49.7
Unknown,2505,2020-07-25,0.6,11.0,0.1,0.0
Female,230423,2020-07-26,50.0,3591.0,42.7,50.3
Male,227545,2020-07-26,49.4,4810.0,57.2,49.7
Unknown,2582,2020-07-26,0.6,11.0,0.1,0.0
Female,233477,2020-07-27,50.0,3607.0,42.8,50.3
Male,230415,2020-07-27,49.4,4818.0,57.1,49.7
Unknown,2658,2020-07-27,0.6,11.0,0.1,0.0
Female,238049,2020-07-28,50.1,3630.0,42.6,50.3
Male,234575,2020-07-28,49.4,4875.0,57.2,49.7
Unknown,2681,2020-07-28,0.6,11.0,0.1,0.0
Female,242598,2020-07-29,50.0,3740.0,42.7,50.3
Male,238861,2020-07-29,49.2,5000.0,57.1,49.7
Unknown,4043,2020-07-29,0.8,11.0,0.1,0.0
Female,246279,2020-07-30,49.9,3831.0,42.9,50.3
Male,242315,2020-07-30,49.1,5095.0,57.0,49.7
Unknown,4994,2020-07-30,1.0,13.0,0.1,0.0
Female,249479,2020-07-31,49.9,3904.0,42.9,50.3
Male,245247,2020-07-31,49.0,5178.0,56.9,49.7
Unknown,5404,2020-07-31,1.1,13.0,0.1,0.0
Female,254017,2020-08-01,49.9,3962.0,42.8,50.3
Male,249405,2020-08-01,49.0,5277.0,57.0,49.7
Unknown,5740,2020-08-01,1.1,13.0,0.1,0.0
Female,256875,2020-08-02,49.9,3991.0,42.8,50.3
Male,252050,2020-08-02,49.0,5322.0,57.1,49.7
Unknown,5976,2020-08-02,1.2,13.0,0.1,0.0
Female,259130,2020-08-03,49.9,4000.0,42.8,50.3
Male,254274,2020-08-03,49.0,5336.0,57.1,49.7
Unknown,6023,2020-08-03,1.2,13.0,0.1,0.0
