age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
50-64,38046,2020-06-20,21.9,868.0,16.1,18.4
65+,27173,2020-06-20,15.6,4207.0,77.9,15.6
Missing,195,2020-06-20,0.1,1.0,0.0,0.0
0-17,13346,2020-06-21,7.5,0.0,0.0,22.5
18-49,98269,2020-06-21,55.2,327.0,6.0,43.5
50-64,38795,2020-06-21,21.8,875.0,16.1,18.4
65+,27456,2020-06-21,15.4,4222.0,77.8,15.6
Missing,188,2020-06-21,0.1,1.0,0.0,0.0
0-17,13867,2020-06-22,7.6,0.0,0.0,22.5
18-49,101474,2020-06-22,55.4,328.0,6.0,43.5
50-64,39667,2020-06-22,21.7,880.0,16.2,18.4
65+,27864,2020-06-22,15.2,4236.0,77.8,15.6
Missing,201,2020-06-22,0.1,1.0,0.0,0.0
0-17,14524,2020-06-23,7.6,0.0,0.0,22.5
18-49,106053,2020-06-23,55.8,332.0,6.0,43.5
50-64,40923,2020-06-23,21.5,889.0,16.2,18.4
65+,28528,2020-06-23,15.0,4277.0,77.8,15.6
Missing,194,2020-06-23,0.1,1.0,0.0,0.0
0-17,14968,2020-06-24,7.7,0.0,0.0,22.5
18-49,109489,2020-06-24,56.0,336.0,6.0,43.5
50-64,41870,2020-06-24,21.4,909.0,16.2,18.4
65+,29048,2020-06-24,14.9,4357.0,77.8,15.6
Missing,196,2020-06-24,0.1,1.0,0.0,0.0
0-17,15449,2020-06-25,7.7,0.0,0.0,22.5
18-49,112547,2020-06-25,56.1,344.0,6.0,43.5
50-64,42721,2020-06-25,21.3,932.0,16.3,18.4
65+,29544,2020-06-25,14.7,4440.0,77.7,15.6
Missing,200,2020-06-25,0.1,1.0,0.0,0.0
0-17,16093,2020-06-26,7.8,0.0,0.0,22.5
18-49,116389,2020-06-26,56.4,347.0,6.0,43.5
50-64,43730,2020-06-26,21.2,944.0,16.3,18.4
65+,30007,2020-06-26,14.5,4494.0,77.7,15.6
Missing,214,2020-06-26,0.1,1.0,0.0,0.0
0-17,16546,2020-06-27,7.9,0.0,0.0,22.5
18-49,118923,2020-06-27,56.5,349.0,6.0,43.5
50-64,44383,2020-06-27,21.1,954.0,16.4,18.4
65+,30333,2020-06-27,14.4,4506.0,77.5,15.6
Missing,1058,2020-06-27,0.1,1.0,0.0,0.0
0-17,17157,2020-06-28,7.9,0.0,0.0,22.5
18-49,122833,2020-06-28,56.7,350.0,6.0,43.5
50-64,45434,2020-06-28,21.0,964.0,16.5,18.4
65+,30893,2020-06-28,14.3,4535.0,77.5,15.6
Missing,233,2020-06-28,0.1,1.0,0.0,0.0
0-17,17739,2020-06-29,8.0,0.0,0.0,22.5
18-49,127082,2020-06-29,57.0,351.0,6.0,43.5
50-64,46486,2020-06-29,20.9,967.0,16.5,18.4
65+,31379,2020-06-29,14.1,4558.0,77.6,15.6
Missing,231,2020-06-29,0.1,1.0,0.0,0.0
0-17,18672,2020-06-30,8.0,0.0,0.0,22.5
18-49,133458,2020-06-30,57.4,355.0,5.9,43.5
50-64,48149,2020-06-30,20.7,985.0,16.5,18.4
65+,32145,2020-06-30,13.8,4637.0,77.6,15.6
Missing,233,2020-06-30,0.1,1.0,0.0,0.0
0-17,19328,2020-07-01,8.0,0.0,0.0,22.5
18-49,138340,2020-07-01,57.6,361.0,6.0,43.5
50-64,49466,2020-07-01,20.6,1002.0,16.5,18.4
65+,32815,2020-07-01,13.7,4695.0,77.5,15.6
Missing,246,2020-07-01,0.1,1.0,0.0,0.0
0-17,20088,2020-07-02,8.1,0.0,0.0,22.5
18-49,143601,2020-07-02,57.8,369.0,6.0,43.5
50-64,50845,2020-07-02,20.5,1023.0,16.5,18.4
65+,33445,2020-07-02,13.5,4791.0,77.5,15.6
Missing,256,2020-07-02,0.1,1.0,0.0,0.0
0-17,20610,2020-07-03,8.1,0.0,0.0,22.5
18-49,147853,2020-07-03,58.0,375.0,6.0,43.5
50-64,51955,2020-07-03,20.4,1036.0,16.6,18.4
65+,34055,2020-07-03,13.4,4835.0,77.4,15.6
Missing,272,2020-07-03,0.1,1.0,0.0,0.0
0-17,21219,2020-07-04,8.2,0.0,0.0,22.5
18-49,151294,2020-07-04,58.2,378.0,6.0,43.5
50-64,52869,2020-07-04,20.3,1038.0,16.6,18.4
65+,34493,2020-07-04,13.3,4848.0,77.4,15.6
Missing,280,2020-07-04,0.1,1.0,0.0,0.0
0-17,22332,2020-07-05,8.2,0.0,0.0,22.5
18-49,158767,2020-07-05,58.4,384.0,6.1,43.5
50-64,54836,2020-07-05,20.2,1044.0,16.6,18.4
65+,35441,2020-07-05,13.0,4872.0,77.3,15.6
Missing,308,2020-07-05,0.1,1.0,0.0,0.0
0-17,22861,2020-07-06,8.2,0.0,0.0,22.5
18-49,162714,2020-07-06,58.6,392.0,6.2,43.5
